concept,meaning,category,fullName
독립성,둘 이상의 트랜잭션이 동시에 병행 실행되는 경우 어느 하나의 트랜잭션 실행 중에 다른 트랜잭션의 연산이 끼어들 수 없다. 수행중인 트랜잭션은 완전히 완료될 때까지 다른 트랜잭션에서 수행 결과를 참조할 수 없다.,트랜잭션 특성,Isolation
영속성,성공적으로 완료된 트랜잭션의 결과는 시스템이 고장나더라도 영구적으로 반영되어야 한다.,트랜잭션 특성,Durability
CRUD,"생성, 읽기, 갱신, 삭제의 앞 글자만 모아서 만든 용어, ___ 분석을 통해 부하가 집중되는 데이터베이스 채널을 파악하고 분산시킴으로써 연결 지연이나 타임아웃 오류를 방지할 수 있다.",CRUD,
CRUD 매트릭스,"2차원 형태의 표로서,  행에는 프로세스를, 열에는 테이블을, 행과 열이 만나는 위치에는 프로세스가 테이블에 발생시키는 변화를 표시하는 업무 프로세스와 데이터 간 상관 분석표이다",CRUD,
트랜잭션 분석,"CRUD 매트릭스를 기반으로 테이블에 발생하는 트랜잭션 양을 분석하여, 테이블에 저장되는 데이터의 양을 유추하고 이를 근거로 DB 용량을 산정하고 DB 구조를 최적화하는 것",CRUD,
트랜잭션 분석서,"단위 프로세스와 CRUD 매트릭스를 이용하여 작성하며, 단위 프로세스, CRUD 연산, 테이블명, 컬럼명, 테이블 참조 횟수, 트랜잭션 수, 발생 주기를 구성 요소로 갖는다",CRUD,
단위 프로세스,업무를 발생시키는 가장 작은 단위의 프로세스,CRUD,
인덱스,"데이터 레코드를 빠르게 접근하기 위해 (키 값, 포인터) 쌍으로 구성되는 데이터 구조이다. 데이터가 저장된 물리적 구조와 밀접한 관계가 있고, 레코드가 저장된 물리적 구조에 접근하는 방법을 제공한다.",인덱스 설계,
B 트리 인덱스,"일반적으로 사용되는 인덱스 방식, 루트 노드에서 하위 노드로 키 값의 크기를 비교해 나가면서 단말 노드에서 찾고자 하는 데이터를 검색한다. ",인덱스 설계,
브랜치 블록,"분기를 위한 목적으로 사용되고, 다음 단계를 가리키는 포인터를 가지고 있음",인덱스 설계,
리프 블록,인덱스를 구성하는 컬럼 데이터와 해당 데이터의 행 위치를 가리키는 레코드 식별자로 구성됨,인덱스 설계,
B+ 트리 인덱스,"단말 노드가 아닌 노드로 구성된 인덱스 세트와 단말 노드로만 구성된 순차 세트로 구분함, 인덱스 세트에 있는 노드들은 단말 노드에 있는 키 값을 찾아갈 수 있는 경로로만 제공되며, 순차 세트에 있는 단말 노드가 해당 데이터 레코드의 주소를 가리킨다.",인덱스 설계,
비트맵 인덱스,"인덱스 컬럼의 데이터를 Bit값인 0 또는 1로 변환하여 인덱스 키로 사용함, 키 값을 포함하는 행의 주소를 제공한다.",인덱스 설계,
함수 기반 인덱스,컬럼의 값 대신 컬럼에 특정 함수를 적용하여 산출된 값을 사용한다. B plus 트리 인덱스 또는 비트맵 인덱스를 생성하여 사용한다.,인덱스 설계,
분포도(선택성),"(조건에 맞는 레코드 수 / 전체 릴레이션 레코드 수) x 100,  분포도가 10 ~15% 인 경우 효율적인 인덱스 검색을 할 수 있음",인덱스 설계,
인덱스 설계,분명하게 드러난 컬럼에 대해 기본적인 인덱스를 먼저 지정한 후 개발 단계에서 필요한 인덱스 설계를 반복 진행한다.,인덱스 설계,
인덱스 대상 테이블 선정 기준,"Multi block read 수에 따라, 랜덤 액세스가 빈번한 테이블, 특정 범위나 특정 순서로 조회가 필요한 테이블, 다른 테이블과 순차적 조인 되는 테이블",인덱스 설계,
뷰,"사용자에게 접근이 허용된 자료만을 제한적으로 보여주기 위해 하나 이상의 기본 테이블로부터 유도된, 이름을 가지는 가상 테이블, 가상 테이블이기 때문에 물리적으로 구현되어 있지 않다. 변경은 불가능하고, CRUD에 대해 제약을 갖는다.",뷰 설계,
정의 테이블,"하나 이상의 다른 테이블로부터 유도된 하나의 가상 테이블이며, 뷰를 만들기 위해 유도된 테이블",뷰 설계,
인라인 뷰,FROM 절 안에 사용되는 서브 쿼리를 지칭함,뷰 설계,
클러스터,"데이터 저장 시 데이터 액세스 효율을 향상시키기 위해 동일한 성격의 데이터를 동일한 데이터 블록에 저장하는 물리적 저장 방법, 데이터 조회 속도는 향상시키지만 데이터 입력, 수정, 삭제에 대한 성능은 저하시킨다.",클러스터 설계,
클러스터링키,"테이블에서 각각의 행을 접근할 때 기준이 되는 열로, 데이터를 조회하면 __ 로 지정된 필드에서 시작하여 테이블을 조회함",클러스터 설계,
단일 테이블 클러스터링,"여러개의 테이블 뿐만 아니라 한 개의 테이블에 대해서도 클러스터링을 수행한 것, 특정 칼럼의 동일한 값을 동일 블록이나 연속된 블록에 저장하므로 데이터 조회 성능이 향상됨.",클러스터 설계,
파티션,"대용량의 테이블이나 인덱스를 작은 논리적 단위인 파티션으로 나누는 것, 대용량 DB의 경우 중요한 몇 개의 테이블에서만 집중되어 데이터가 증가되므로, 이런 테이블들을 작은 단위로 나눠 분산시키면 성능 저하를 방지할 뿐만 아니라 데이터 관리가 쉬워진다",파티션 설계,
범위 분할,지정한 열의 값을 기준으로 범위를 지정하여 분할한다.,파티션 설계,Range Partitioning
해시 분할,"해시 함수를 적용한 결과 값에 따라 데이터를 분할한다, 특정 데이터가 어디있는지 판단할 수 없으나, 데이터를 고르게 분산할 때 유용하다. ",파티션 설계,Hash Partitioning
조합 분할,"범위 분할로 분할한 다음 해시 함수를 적용하여 다시 분할하는 방식, 범위 분할할 파티션이 너무 커서 관리가 어려울 때 유용함",파티션 설계,Composit Partitioning
목록 분할,지정한 열 값에 대한 목록을 만들어 이를 기준으로 분할한다,파티션 설계,List Partitioning
라운드 로빈 분할,"레코드를 균일하게 분배하는 방식이다. 각 레코드가 순차적으로 분배되며, 기본키가 필요없다.",파티션 설계,Round Robin Partitioning
파티션키,"파티션을 나누는 기준이 되는 열로, 파티션키로 지정된 열의 데이터 값에 따라 파티션이 나뉨",파티션 설계,
인덱스 파티션,"파티션된 테이블의 데이터를 관리하기 위해 인덱스를 나눈 것, 파티션된 테이블의 종속 여부에 따라 로컬/글로벌 구분함",파티션 설계,
Local Partitioned Index,테이블 파티션과 인덱스 파티션이 1:1 대응되도록 파티셔닝한 것,파티션 설계,
Global Partitioned Index,테이블 파티션과 인덱스 파티션이 독립적으로 구성되도록 파티셔닝한 것,파티션 설계,
데이터베이스 용량 설계,"데이터가 저장될 공간을 정의한 것으로, 테이블에 저장할 데이터양과 인덱스, 클러스터 등 차지하는 공간 등을 예측하여 반영한다. 정확히 산정할수록 디스크 저장 공간을 효과적으로 사용하고 확장성 및 가용성을 높인다.",데이터베이스 용량 설계,
익스텐트,데이터 베이스 용량이 모두 찼을 경우 추가적으로 할당되는 공간 의미,데이터베이스 용량 설계,
테이블스페이스 용량,"테이블 용량을 모두 더한 값에 약 40% 정도 할당함, 확장 가능성이 낮을 경우 20%",데이터베이스 용량 설계,
분산 데이터베이스,논리적으로는 하나의 시스템에 속하지만 물리적으로는 네트워크를 통해 연결된 여러 개의 컴퓨터 사이트에 분산되어 있는 데이터베이스를 말함,분산 데이터베이스 설계,
분산 처리기,자체적으로 처리 능력을 가지며 지리적으로 분산되어 있는 컴퓨터 시스템을 말한다,분산 데이터베이스 설계,
분산 데이터베이스,지리적으로 분산되어 있는 데이터베이스로서 해당 지역의 특성에 맞게 데이터베이스가 구성된다.,분산 데이터베이스 설계,
통신 네트워크,분산 처리기들을 통신망으로 연결하여 논리적으로 하나의 시스템처럼 작동할 수 있도록 하는 구성 요소를 말한다,분산 데이터베이스 설계,
위치 투명성,액세스하려는 데이터베이스의 실제 위치를 알 필요 없이 단지 데이터베이스의 논리적인 명칭만으로 액세스할 수 있어야하는 분산 데이터베이스의 목표이다.,분산 데이터베이스 설계,Location Transparency
중복 투명성,"동일 데이터가 여러 곳에 중복되어 있더라도 사용자는 마치 하나의 데이터만을 존재하는 것처럼 사용하고, 시스템은 자동으로 여러 자료에 대한 작업을 수행하는 분산 데이터베이스의 목표이다.",분산 데이터베이스 설계,Replication Transparency
병행 투명성,분산 데이터베이스와 관련된 다수의 트랜잭션이 동시에 실현되더라도 그 트랜잭션의 결과는 영향 받지 않는 분산 데이터베이스의 목표이다,분산 데이터베이스 설계,Concurrency Transparancy
장애 투명성,"트랜잭션, DBMS, 네트워크, 컴퓨터 장애에도 부룩하고 트랜잭션을 정확하게 처리하는 분산 데이터베이스의 목표이다.",분산 데이터베이스 설계,Failure Transparancy
분할,테이블의 데이터를 나누어 분산시키는 것,분산 데이터베이스 설계,Fragment
완전성,전체 데이터를 대상으로 분할해야하는 분할 규칙이다.,분산 데이터베이스 설계,Completeness
재구성,분할된 데이터는 관계 연산을 활용하여 본래의 데이터로 재구성할 수 있어야하는 분할 규칙이다.,분산 데이터베이스 설계,Reconstruction
상호 중첩 배재,분할된 데이터는 서로 다른 분할의 항목에 속하지 않아야하는 분할 규칙이다.,분산 데이터베이스 설계,Dis-jointness
수평 분할,특정 속성의 값을 기준으로 행 단위로 분할 하는 주요 분할 방법이다.,분산 데이터베이스 설계,
수직 분할,데이터 컬럼 단위로 분할하는 주요 분할 방법이다.,분산 데이터베이스 설계,
할당,"동일한 분할을 여러 개의 서버에 생성하는 분산 방법으로, 중복의 유무로 구분한다.",분산 데이터베이스 설계,Allocation
비중복 할당 방식,최적의 노드를 선택해서 분산 데이터베이스의 단일 노드에서만 분할이 존재하도록 하는 방식이다.,분산 데이터베이스 설계,
중복할당 방식,"동일한 테이블을 다른 서버에 복제하는 방식으로, 일부만 복제 또는 전체 복제하는 방식으로 나뉜다.",분산 데이터베이스 설계,
데이터베이스 이중화,시스템 오류로 인한 데이터베이스 서비스 중단이나 물리적 손상 발생 시 이를 복구하기 위해 동일한 데이터베이스를 복제하여 관리하는 것,데이터베이스 이중화,
Eager 기법,"트랜잭션 수행 중 데이터 변경이 발생하면, 이중화된 모든 데이터베이스에 즉시 전달하여 변경 내용이 즉시 적용되도록 하는 기법",데이터베이스 이중화,
Lazy 기법,"트랜잭션의 수행이 종료되면 변경 사실을 새로운 트랜잭션에 작성하여 각 데이터베이스에 전달되는 기법으로, 데이터베이스마다 새로운 트랜잭션이 수행되는 것으로 간주된다.",데이터베이스 이중화,
활동-대기,한 DB가 활성 상태로 서비스하고 있으면 다른 DB는 대기하고 있다가 활성 DB에 장애가 발생하면 대기 상태로 있던 DB가 자동으로 모든 서비스를 대신 수행한다. 구성과 관리가 쉽다,데이터베이스 이중화,
